id,country_region,country_region_code,date,Retail and recreation,Grocery shops and markets,Parks and outdoor areas,Public transport hubs,Places of work,Residential places,CountryCode,workplace,stayhome,transport,schools,gathers,events,masks,myindex,workplace_d,stayhome_d,transport_d,schools_d,gathers_d,events_d,masks_d,myindex_d
AR.2020-02-15,Argentina,AR,2020-02-15,1,-3,-3,4,-1,0,ARG,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
AR.2020-02-16,Argentina,AR,2020-02-16,-6,-6,-14,-2,-4,2,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-17,Argentina,AR,2020-02-17,-10,-8,-23,-2,7,1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-18,Argentina,AR,2020-02-18,3,3,-2,9,9,-1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-19,Argentina,AR,2020-02-19,1,0,10,8,11,-2,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-20,Argentina,AR,2020-02-20,0,0,-8,7,9,-1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-21,Argentina,AR,2020-02-21,3,4,-9,9,9,-1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-22,Argentina,AR,2020-02-22,6,5,4,7,-1,0,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-23,Argentina,AR,2020-02-23,14,8,18,5,-2,0,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-24,Argentina,AR,2020-02-24,-10,-16,26,-27,-54,6,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-25,Argentina,AR,2020-02-25,-20,-17,1,-28,-50,7,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-26,Argentina,AR,2020-02-26,1,2,5,9,13,-2,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-27,Argentina,AR,2020-02-27,-1,0,-5,8,12,0,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-28,Argentina,AR,2020-02-28,3,2,-8,8,13,-1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-02-29,Argentina,AR,2020-02-29,5,5,-8,6,2,1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-03-01,Argentina,AR,2020-03-01,-3,3,-11,1,-2,2,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-03-02,Argentina,AR,2020-03-02,1,4,-8,7,16,-1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR.2020-03-03,Argentina,AR,2020-03-03,0,5,-6,8,16,-1,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
